giphy_id,qwen8b_dominant,moss_dominant,sentiment,arousal,max_score
9SIXFu7bIUYHhFc19G,surprise,surprise,0.1823,0.7235,1.0
dAvvMX8BLOvCg,happy,happy,0.5221,0.696,1.0
8nmvR3jAxnl2o,anger,anger,-0.4813,0.7803,1.0
XeNrmVGsK2sHIjUosG,anger,anger,-0.4988,0.7992,1.0
huJmPXfeir5JlpPAx0,surprise,surprise,-0.0147,0.7799,1.0
j3IxJRLNLZz9sXR7ZA,anger,anger,-0.4538,0.7573,1.0
2bUpP71bbVnZ3x7lgQ,anger,anger,-0.3493,0.6749,1.0
r42HxBImuzoRxsRA14,anger,anger,-0.4981,0.7885,1.0
15Quq4AsnLck0zlm5r,anger,anger,-0.3735,0.5947,1.0
wHB67Zkr63UP7RWJsj,anger,anger,-0.4461,0.6283,1.0
b8RfbQFaOs1rO10ren,surprise,surprise,0.1119,0.8048,1.0
853jNve3ljqrYrcSOK,fear,fear,-0.4591,0.7538,1.0
bOifD9wkVMRxu,anger,anger,-0.2188,0.7473,1.0
p4pWzctMrCBfLFgycF,anger,anger,-0.4768,0.7795,1.0
D7z8JfNANqahW,anger,anger,-0.4882,0.7879,1.0
1jXGsHY2EKdL27mEMd,anger,anger,-0.373,0.6695,1.0
RHIYhjyA2R8IibyqPU,anger,anger,-0.2697,0.6856,0.9999
b6iVj3IM54Abm,anger,anger,-0.509,0.7298,1.0
o75ajIFH0QnQC3nCeD,anger,anger,-0.4659,0.7952,1.0
xFBnkMvpTM6m4,anger,anger,-0.4634,0.7685,1.0
l4Ep3mmmj7Bw3adWw,happy,happy,0.3547,0.7406,1.0
2SXXwzEfH0qmXqYhcG,anger,anger,-0.5037,0.798,1.0
baJHXNgPLkpOg,anger,anger,-0.347,0.6262,1.0
LIzmN5oIcHdCM,neutral,neutral,0.0074,0.526,0.9994
62HIkemjJZOD95NDlI,anger,anger,-0.4481,0.7382,1.0
W69xBwRM9fhh30eyMw,fear,fear,-0.2499,0.6709,1.0
13d2jHlSlxklVe,anger,anger,-0.4134,0.7552,1.0
DffShiJ47fPqM,anger,anger,-0.3281,0.7426,1.0
xTiTnF2FfzN2g2oSbu,anger,anger,-0.4948,0.7771,1.0
3oKIPwoeGErMmaI43S,fear,fear,-0.2987,0.7847,0.9998
lpmutx2vnRtA5hC5zg,anger,anger,-0.5043,0.7904,1.0
l0HlMPcbD4jdARjRC,anger,anger,-0.5104,0.7544,1.0
wi8Ez1mwRcKGI,anger,anger,-0.3636,0.705,1.0
HhTXt43pk1I1W,fear,fear,-0.3321,0.7796,1.0
l2SpQ0pTWgKGQ7Z7i,neutral,neutral,-0.0224,0.4689,1.0
1rNWZu4QQqCUaq434T,fear,fear,-0.4176,0.6913,1.0
yuw0QDxjV0lrO,neutral,neutral,-0.0071,0.5172,0.9991
xT8qB7Sbwskk27Rdy8,anger,anger,-0.3617,0.7123,1.0
5e22CwMaD4oMSk3Qpc,anger,anger,-0.4529,0.7843,1.0
11tTNkNy1SdXGg,anger,anger,-0.5083,0.7951,1.0
26n6R5HOYPbekK0YE,happy,happy,0.0843,0.739,0.9998
l0HU7yHIK6Nc3WcE0,anger,anger,-0.3878,0.7676,1.0
nDMyoNRkCesJdZAuuL,anger,anger,-0.3588,0.7138,1.0
KWzTx0tYwZfkk,fear,fear,-0.4392,0.8333,1.0
Qw4X3FnmFFCPANtlhtK,anger,anger,-0.3975,0.7243,1.0
127h8dMHnk5H5C,anger,anger,-0.3641,0.6943,1.0
tGbhyv8Wmi4EM,neutral,neutral,0.1467,0.5551,0.9993
1zmG8avB83Uvm,anger,anger,-0.4928,0.7994,1.0
2XOL4zsm6V0nm,anger,anger,-0.4748,0.7809,1.0
QynMX1WxnYFbb2OHnJ,surprise,surprise,-0.0903,0.6774,1.0
6rTQC2UiX9AOI,anger,anger,-0.3863,0.7257,1.0
gJuTwM3yuQ8f3rE8KV,anger,anger,-0.4601,0.7897,1.0
WUeeGwT8d8KFa,anger,anger,-0.4708,0.7687,1.0
XDSBGwnjvTpoZGJhxY,anger,anger,-0.3801,0.6643,0.9999
YRw676NBrmPeM,anger,anger,-0.1475,0.7328,1.0
12UPyerJpVC2PzWkrz,sad,sad,-0.6021,0.3904,1.0
zSN6p17t8Ws12,anger,anger,-0.3155,0.6212,1.0
2UvAUplPi4ESnKa3W0,surprise,surprise,0.2114,0.7357,0.9999
xUA7b7O3atoEknirKg,neutral,neutral,-0.0272,0.4841,0.9986
8cdfoJuYuz2u27DAAO,anger,anger,-0.4013,0.7458,1.0
HDZ05Y9VeSjL2,anger,anger,-0.4978,0.7939,1.0
sQBkCTTrJRLSE,anger,anger,-0.1301,0.6752,1.0
BpGWitbFZflfSUYuZ9,anger,anger,-0.2984,0.6525,1.0
X0bnTmo4izNfi,anger,anger,-0.227,0.7256,1.0
LrC1m7Ay3xsha,happy,happy,0.4483,0.7282,0.9999
3o6UB3VhArvomJHtdK,happy,happy,0.3049,0.6439,0.9987
IQ9KefLJHfJPq,anger,anger,-0.2692,0.7322,1.0
rvaQRHCzisFeo,anger,anger,-0.4702,0.7651,1.0
1yTcuVWpdb5dL3YB2P,fear,fear,-0.171,0.6598,0.9996
h4TdHo3RExSbHd9bOe,anger,anger,-0.2854,0.7536,1.0
AobQDNI4K7a4U,anger,anger,-0.4441,0.7243,1.0
UiBmJv6Hh6FfW,anger,anger,-0.1475,0.7328,1.0
l3q2XhfQ8oCkm1Ts4,happy,happy,0.3603,0.6487,1.0
3ohs7U04OERhUtefja,fear,fear,-0.4045,0.8037,1.0
9L0Ppewq4EQec,neutral,neutral,0.0036,0.481,0.9998
gj0QdZ9FgqGhOBNlFS,happy,happy,0.6109,0.7276,0.9999
3o85xnoIXebk3xYx4Q,anger,anger,-0.4111,0.7568,1.0
dZdadd8KqjgsJGjMVp,anger,anger,-0.4701,0.7615,1.0
HB4mYkjjFcvNm,anger,anger,-0.4534,0.7466,1.0
fRloIBhOoPoUouMHt9,fear,fear,-0.3014,0.7167,1.0
l2ZDN6z07Z5vNInte,happy,happy,0.5679,0.7042,0.9998
3XiQswSmbjBiU,anger,anger,-0.3597,0.6721,1.0
lF5bH6enH9F1m,anger,anger,-0.4444,0.787,1.0
8nM6YNtvjuezzD7DNh,anger,anger,-0.4726,0.785,1.0
bbshzgyFQDqPHXBo4c,happy,happy,0.422,0.6441,0.9977
JhMKbTYehsFe8,fear,fear,-0.3238,0.8244,1.0
SLAe6QZljBbd6,anger,anger,-0.4438,0.7238,1.0
aTx5OMKR7FCGQ,anger,anger,-0.3137,0.7494,1.0
l2Je3n9VXC8z3baTe,fear,fear,-0.4415,0.8154,1.0
7LgKUsZiSjcRO,anger,anger,-0.4953,0.7861,1.0
xT39D7O9Xj1JqKq5i0,anger,anger,-0.4997,0.7871,1.0
l3q2K5jinAlChoCLS,sad,sad,-0.3061,0.4605,0.9986
Ejf1HdY98SPRK,anger,anger,-0.5013,0.7932,1.0
3ohc1dvSEcrtXydl6w,anger,anger,-0.5032,0.7964,1.0
R51a8oAH7KwbS,anger,anger,-0.4924,0.6892,1.0
e37RbTLYjfc1q,anger,anger,-0.4774,0.7886,0.9999
lqLt4lAoMOTB28jzTd,anger,anger,-0.463,0.7803,1.0
29HRejgahYenVsohB5,happy,happy,0.5868,0.739,0.9999
3ohc0QQkTH6YK8g4zS,anger,anger,-0.4484,0.7281,1.0
l0HefZY0mFfLS9AFa,anger,anger,-0.4519,0.7574,1.0
3o85xAYQLOhSrmINHO,neutral,neutral,0.1129,0.6118,0.9992
xl5QdxfNonh3q,anger,anger,-0.496,0.7957,1.0
XGy5xGE5HhejVxSjGq,neutral,neutral,-0.0461,0.4888,0.9999
VG89qvC27mPcyNs3Aq,anger,anger,-0.487,0.7663,1.0
5VKbvrjxpVJCM,surprise,surprise,0.1289,0.8511,1.0
igR5863TALcSk,anger,anger,-0.3752,0.7689,1.0
Y3wB6XgdPtGJE2G4hK,anger,anger,-0.3605,0.6725,1.0
gW2ehLPJ0GUFMGQfT6,neutral,neutral,-0.0965,0.5357,1.0
F5wBXtQmDVIJXAqe8v,neutral,neutral,-0.031,0.472,1.0
PqQIVXwPWkcMg,neutral,neutral,-0.0831,0.5004,1.0
l4pTfx2qLszoacZRS,happy,happy,0.4124,0.6152,1.0
hB5vNhUepvcek,anger,anger,-0.4788,0.783,1.0
dRzkTXN18W84cGxGsC,anger,anger,-0.495,0.7989,1.0
qBykyt7AiTOgM,fear,fear,-0.435,0.8445,1.0
3o85xtua43qayXTiqQ,neutral,neutral,-0.252,0.5584,0.9988
TcKpesqXMpLwI,anger,anger,-0.4028,0.6191,1.0
mks5DcSGjhQ1a,anger,anger,-0.4254,0.7741,1.0
TgC8jEirdyKICUVPPs,happy,happy,-0.0007,0.6774,0.9993
YT805t3TRDy6uISZuN,fear,fear,-0.3857,0.8203,1.0
ErDZ73YFYLSPC,anger,anger,-0.4263,0.7675,1.0
l1J3G5lf06vi58EIE,anger,anger,-0.4332,0.7578,1.0
50cjS4l1tm8ne,happy,happy,0.2836,0.6631,0.9999
5o1nnMT5InheM,neutral,neutral,-0.0876,0.5054,1.0
qVJDUpdAHqItG,anger,anger,-0.3,0.707,1.0
3oEdv22bKDUluFKkxi,anger,anger,-0.4843,0.7836,1.0
8mYqokJopdwx5x1I5F,anger,anger,-0.4571,0.7708,1.0
xT0BKCQJDzoTaeQyA0,anger,anger,-0.4961,0.7896,1.0
YmQLj2KxaNz58g7Ofg,anger,anger,-0.3948,0.6991,1.0
O6Aubv7sJW7bgwBwia,anger,anger,-0.4234,0.6857,1.0
uyWTOgNGGWfks,anger,anger,-0.3815,0.6346,0.9999
lYZFgG0I5zch9JNTG9,anger,anger,-0.4528,0.7595,1.0
DxbAro4C39Qi5kJmPb,happy,happy,0.3039,0.6984,0.9995
c7f4S3u8XbYMo,fear,fear,-0.41,0.8338,1.0
S6NfXNzmwrBwAseDyf,neutral,neutral,-0.0069,0.4928,1.0
hFmIU5GQF18Aw,neutral,neutral,-0.0205,0.4748,1.0
3o6ozvv0zsJskzOCbu,happy,happy,0.435,0.6889,0.9976
XSc4Kkc5u2WZy,anger,anger,-0.4867,0.7647,1.0
iYfxT7U2QKR4A,fear,fear,-0.2336,0.6953,1.0
7kn27lnYSAE9O,happy,happy,0.291,0.7526,0.9999
rVZEejvVWEbug,anger,anger,-0.2641,0.7231,1.0
6D0dubMvJUtAA,anger,anger,-0.0823,0.6675,0.9999
oF5oUYTOhvFnO,happy,happy,0.5951,0.6951,1.0
vnOQdGt1ILQEo,anger,anger,-0.2741,0.6316,1.0
WrBSHRLE9gEgM,neutral,neutral,-0.1246,0.6241,0.9989
gk3R16JhLP8RUka2nD,anger,anger,-0.4631,0.7516,1.0
f8bi39QaEsJBOyVOFB,neutral,neutral,-0.0226,0.4734,1.0
8njotXALXXNrW,anger,anger,-0.4936,0.7776,1.0
3o85xxSZvFZgD4wXde,neutral,neutral,0.0428,0.5692,0.9938
l2JdUrmFPxNZZiWYM,anger,anger,-0.1672,0.7026,1.0
elVm3XLGESzi64KZX3,anger,anger,-0.3137,0.663,1.0
lKKXOCVviOAXS,fear,fear,-0.3987,0.8087,1.0
Tj4LGlKhDRgdwfFW1u,anger,anger,-0.2762,0.6543,1.0
QXPmPdudTz4So2P4OQ,surprise,surprise,-0.0604,0.6998,1.0
d7mMzaGDYkz4ZBziP6,anger,anger,-0.4892,0.7829,1.0
giLdGtRdBDxYVMoUw0,anger,anger,-0.347,0.6867,1.0
9umH7yTO8gLYY,anger,anger,-0.4541,0.7917,1.0
Oj7yTCLSZjSt2JMwi2,neutral,neutral,-0.0204,0.5008,0.9999
xT0GqimU9dTwmE5lra,anger,anger,-0.3657,0.7076,1.0
GeimqsH0TLDt4tScGw,neutral,neutral,0.081,0.5966,0.9993
xT9IghUPdIhaIXrR7y,anger,anger,-0.485,0.7876,1.0
oGOW75SleZPR6,anger,anger,-0.4222,0.7595,1.0
ClHz2YRBofO8w282HH,anger,anger,-0.4967,0.8015,1.0
xfR4J1y61nDnW,neutral,neutral,-0.1476,0.5817,1.0
2BG086WOP2Xfi,anger,anger,-0.4926,0.7906,1.0
d1E1msx7Yw5Ne1Fe,neutral,neutral,-0.0033,0.4661,1.0
JoV2BiMWVZ96taSewG,anger,anger,-0.3662,0.6607,1.0
HUkOv6BNWc1HO,fear,fear,-0.3844,0.8072,1.0
l0IylOPCNkiqOgMyA,anger,anger,-0.3952,0.7531,1.0
aS8ypUweGOXMA,anger,anger,-0.4974,0.7843,1.0
l0HlvtIPzPdt2usKs,anger,anger,-0.3926,0.6504,0.9998
koPSBhdvbCD4c,anger,anger,-0.5091,0.7343,1.0
J60jJzFBH8cHYH8QOn,neutral,neutral,0.0442,0.4903,0.9996
iojLAcf5ZETPq,happy,happy,0.3368,0.6147,0.9976
26tPdwMm4jyClgxTq,anger,anger,-0.4313,0.7679,1.0
YN1eB6slBDeNHr1gjs,anger,anger,-0.4792,0.7847,1.0
6901DbEbbm4o0,anger,anger,-0.3306,0.7934,1.0
l2Jejt7O03eXaRQre,anger,anger,-0.4325,0.7386,1.0
FTELxTvVLJqRq,anger,anger,-0.4923,0.7884,1.0
3oz8xH9l1ci0ZJFawM,fear,fear,-0.3452,0.6885,1.0
lw75Al819OAvcsPcRu,happy,happy,0.475,0.7183,0.9999
SrmLZIT3S8oFO,fear,fear,-0.4293,0.8576,1.0
JCAZQKoMefkoX6TyTb,fear,fear,-0.4209,0.832,1.0
3oz8xJIDVJ1KANEUfK,happy,happy,0.5679,0.7349,1.0
jqI7vrTgA1An4pi4k8,anger,anger,-0.3741,0.7105,1.0
6Gp9z8MI9c8xO,fear,fear,-0.3773,0.8019,1.0
hFXwY4lER3oBO,anger,anger,-0.4772,0.6257,1.0
3o72FgwyBxqGxxrsRy,anger,anger,-0.2878,0.6133,1.0
Uo8APUiIAr7qM,anger,anger,-0.2531,0.6405,0.9886
oymRV1UYQWLFNM78Xe,anger,anger,-0.4722,0.7749,0.9998
cklPOHnHepdwBLRnQp,happy,happy,0.7069,0.7325,1.0
VSDalee3ipdyo,fear,fear,-0.4197,0.8572,0.9988
rFPH6jKnrAKU8,anger,anger,-0.1372,0.7532,1.0
l3q2JCu9lep6dAmyY,anger,anger,-0.2782,0.6727,1.0
M9OowyXcTJkOlkurIT,neutral,neutral,-0.05,0.5346,0.9994
9tTEqj99CSMsE,fear,fear,-0.2216,0.7403,0.9999
80dF8fSDEdDG0,happy,happy,0.5244,0.6664,1.0
T3Vx6sVAXzuG4,happy,happy,0.4267,0.7154,0.9997
3osxYoNxMyGazX1D2w,neutral,neutral,-0.1766,0.5787,0.9998
lFmmcqA4VBhMQ,fear,fear,-0.2441,0.712,0.9999
ksVugU85LoBk4,anger,anger,-0.2832,0.6202,1.0
s3hZZwFRki8r6,anger,anger,-0.4649,0.7641,1.0
10H4by255F2UsU,anger,anger,-0.4915,0.795,1.0
xv0dyjkSmaUdG,anger,anger,-0.231,0.645,1.0
yoJC2K6rCzwNY2EngA,anger,anger,-0.3242,0.6848,0.9999
hTCp28zfmxc9ig9nCc,anger,anger,-0.5058,0.7872,1.0
igi0dS20WxPJvroIgW,fear,fear,-0.4184,0.7943,1.0
gswsH2I4U4u6Q,anger,anger,-0.3028,0.6467,1.0
8fen5LSZcHQ5O,anger,anger,-0.2283,0.6342,1.0
11jIcdl19gWkAE,fear,fear,-0.2144,0.8377,1.0
l4q8cJzGdR9J8w3hS,happy,happy,0.2524,0.6871,0.9988
l0MYGb1LuZ3n7dRnO,anger,anger,-0.3844,0.6911,1.0
5zjJfdoitd4Ck,fear,fear,-0.303,0.7139,1.0
hPpc3mShfW3K2Skmtx,neutral,neutral,-0.0995,0.5169,1.0
12msOFU8oL1eww,happy,happy,0.3885,0.6742,0.9997
jpnUo1K9G5nzUuFUQT,fear,fear,-0.3902,0.7542,1.0
l0MYO6KvZeNjc1LQk,neutral,neutral,0.0041,0.4676,1.0
k0CJuMw9h7m3S,fear,fear,-0.27,0.6567,1.0
11pP44O1PcjgUE,anger,anger,-0.4095,0.7713,1.0
jnQ05uCXivi2cnpfYz,anger,anger,-0.2136,0.7074,0.9999
sdarezLLwzMkw,anger,anger,-0.4805,0.7809,1.0
vNU5PyxaM8bBu,happy,happy,0.0336,0.646,0.9992
EVf8tbnlr77Es,fear,fear,-0.4398,0.7986,1.0
xXvIkTu08XQLC,anger,anger,-0.4609,0.7696,1.0
SXHowTvFHespxSflKy,anger,anger,-0.488,0.6073,1.0
Zw3oBUuOlDJ3W,happy,happy,0.4602,0.6871,0.9993
iKBAAfYNDu1dowhnEj,anger,anger,-0.3256,0.6088,1.0
HbkT5F5CiRD3O,anger,anger,-0.4715,0.7811,1.0
ZbUOH7pbDiNSmU1x4o,anger,anger,-0.3426,0.6173,1.0
SF9Z0shNT07T2,anger,anger,-0.4976,0.7893,1.0
l3vR6aasfs0Ae3qdG,happy,happy,0.4225,0.6859,0.9975
PnahEQ7Ify1JvhQrag,anger,anger,-0.27,0.6534,1.0
reiJ6YoVwJi5a,anger,anger,-0.4191,0.7566,0.9999
1dIYE1CwFyTTbiOSiy,happy,happy,0.4191,0.6263,1.0
RN96CaqhRoRHk4DlLV,anger,anger,-0.4056,0.7407,1.0
D93WVTRIEMNm90NzPt,anger,anger,-0.499,0.7979,1.0
x0kMYoT7J31i8,anger,anger,-0.2069,0.7418,0.9999
WRWyfIWXpnoXgK2Pcj,anger,anger,-0.3792,0.7134,1.0
29pezrIwrkblK,neutral,neutral,0.2308,0.5602,0.9996
l0ExayQDzrI2xOb8A,happy,happy,0.3581,0.7107,0.9999
3o7ZeEZUzRjyvWuuIg,fear,fear,-0.4342,0.7932,1.0
YfMHLC2s6okBq,happy,happy,0.2803,0.6727,0.9991
7JETd7y4ckts9QiUK4,fear,fear,-0.3234,0.7649,1.0
10fTHeZVQug7hC,anger,anger,-0.4526,0.7809,1.0
CNna9G8BQvnoI,anger,anger,-0.4462,0.7355,1.0
gYkga3bZav66I,anger,anger,-0.4842,0.7816,1.0
3oz8xsRKgCWlzkqT7y,anger,anger,-0.2781,0.6606,1.0
WOqPbwiIT5xM5CrH2a,anger,anger,-0.273,0.6431,1.0
11TU9wJqEtr2ZW,anger,anger,-0.4755,0.7688,1.0
kc0kqKNFu7v35gPkwB,anger,anger,-0.4999,0.7879,1.0
9ABgKHIu3acWA,fear,fear,-0.4045,0.7874,1.0
Xf1ghvcjLrMn3O6Qe4,neutral,neutral,-0.0533,0.4689,1.0
3o7WIGB5tfTUw9V5M4,neutral,neutral,-0.0158,0.5176,0.9951
3oEjI5VtIhHvK37WYo,happy,happy,0.4514,0.6559,1.0
4T5jQfMUjLrS3QMSms,anger,anger,-0.2599,0.7202,1.0
2utfXGpUJEjEQ,fear,fear,-0.2576,0.6984,1.0
14wTbNneogwjba,anger,anger,-0.4888,0.7883,1.0
fBjm5CS40P1ra,happy,happy,0.3922,0.6397,1.0
sRiARHYSPJXDq,neutral,neutral,-0.0764,0.4982,0.9999
W093Amc6yeS3IZbmAz,anger,anger,-0.3426,0.6033,1.0
TBOvwBGkQShnq,anger,anger,-0.4588,0.7766,1.0
xUOxeSXjqTCTzkq40w,happy,happy,0.4081,0.6597,1.0
xEGqih6o0meyY,neutral,neutral,0.0568,0.5676,0.9997
Qw4X3FMPf0xxtLjwcnK,fear,fear,-0.462,0.7689,1.0
m9eG1qVjvN56H0MXt8,happy,happy,0.6021,0.711,1.0
12TGsewzFyNuOQ,surprise,surprise,-0.1291,0.8048,1.0
fRhSHzQ4NXOdrHIZJd,anger,anger,-0.1498,0.6411,1.0
z0L7YsxOfbncA,fear,fear,-0.3302,0.7447,1.0
BjHIjM2YFC3rEUaMrw,anger,anger,-0.4168,0.7349,1.0
3o7TKB3oifq46DDhOE,neutral,neutral,-0.2653,0.4743,0.9997
OAYtfrwCvdVjW,neutral,neutral,-0.0744,0.5085,1.0
3o7abrH8o4HMgEAV9e,fear,fear,-0.426,0.8347,1.0
CTkWFZ1IDvsfS,neutral,neutral,-0.037,0.4667,1.0
prhZjwRxxt5Ys,anger,anger,-0.5016,0.7995,1.0
u3wxhL63uuhMqoMKQF,anger,anger,-0.4508,0.7834,1.0
I6nxG7f3h7qww,fear,fear,-0.3618,0.815,1.0
hsxHqVGqz4vxg5N7xb,anger,anger,-0.4183,0.6951,1.0
l1KVaj5UcbHwrBMqI,sad,sad,-0.4226,0.5875,1.0
l0ErLeqamV3UOARsA,anger,anger,-0.4252,0.6266,1.0
nBQMf95HKESX1c8zAY,anger,anger,-0.4337,0.7805,1.0
L0Z4qwdwv62cn4haFp,anger,anger,-0.4692,0.7646,1.0
zCpYQh5YVhdI1rVYpE,anger,anger,-0.4719,0.7746,1.0
UUycSG6B21KXizJJ6S,anger,anger,-0.4927,0.797,1.0
3ov9jYcrBsf7u6D516,anger,anger,-0.4071,0.7252,1.0
mJoc5piKiLT9e,anger,anger,-0.4229,0.702,1.0
YHvwPgwojjsFa,anger,anger,-0.3004,0.6376,0.9999
2mG3TDbUTFY5UznyjS,anger,anger,-0.466,0.7812,1.0
gulZzRO8ZYCaPwPwS3,happy,happy,0.501,0.6683,0.9986
oS8pRFxbD0d44,anger,anger,-0.3685,0.7,1.0
xT5LMHMVvWbyDAtYQ0,anger,anger,-0.3938,0.7414,1.0
UhgD6T3wqGszUu7ZoX,anger,anger,-0.2908,0.6497,1.0
GbPru204dTDfG,anger,anger,-0.1115,0.68,1.0
mYeIp5eruF3jy,fear,fear,-0.457,0.642,1.0
JYEEdjzlsb280,fear,fear,-0.4509,0.6941,1.0
Fu3OjBQiCs3s0ZuLY3,happy,happy,0.5304,0.6965,0.9996
Q9FGOQewX92eRRO9Qi,anger,anger,-0.3467,0.7806,1.0
cgeSnXHh1g9AI07V4o,anger,anger,-0.2179,0.7539,1.0
in6mnJNYjGKpq,anger,anger,-0.3953,0.7239,1.0
3oEhmCmDzqV12kkwdW,anger,anger,-0.4673,0.7825,1.0
3o84sw9CmwYpAnRRni,anger,anger,-0.3205,0.6374,1.0
Ro6bzW9q9Bttu,anger,anger,-0.4957,0.7901,1.0
hTCn3xvVLZYT2qwe7X,anger,anger,-0.3666,0.7151,0.9978
dK8qXHIvVXR9IwRVwC,neutral,neutral,-0.2113,0.6005,0.9999
sG4zmff2zDOp7t2MNA,anger,anger,-0.297,0.6573,1.0
HW05UrUSfAzZu,anger,anger,-0.4834,0.7909,1.0
l49JXLMikNV9U5OpO,anger,anger,-0.2412,0.6846,1.0
3o6ZtfZp8ID54YUne0,anger,anger,-0.5012,0.7353,1.0
u00BUvSb3L5cIQHhjw,neutral,neutral,-0.0571,0.494,0.9998
l4Fsly71gEOtGvLQA,anger,anger,-0.4223,0.7414,1.0
v3p3CtSrNYNLa,anger,anger,-0.3168,0.6768,1.0
Jom1pLj6t9BfUU1t7E,anger,anger,-0.0693,0.7417,1.0
13hxeOYjoTWtK8,happy,happy,0.587,0.7363,0.9999
Ff30iZRZcpNO8,happy,happy,0.6579,0.7162,1.0
3og0IR3OnGlm2yBM2c,anger,anger,-0.3496,0.6764,1.0
vWku8YNwyy5vq,anger,anger,-0.2106,0.6703,1.0
13dFbYQXSmQSTm,fear,fear,-0.318,0.7336,1.0
13746CZnj9zQwo,happy,happy,0.057,0.7093,0.9998
e1LbfvnlOnAVjO6wwC,fear,fear,-0.4477,0.7822,1.0
fTmlIVRshlsY1prd2x,happy,happy,0.5277,0.6778,1.0
OqFpgF7bet1sRoCmpb,anger,anger,-0.4989,0.754,1.0
kLLvH1EOtCwQ8,neutral,neutral,-0.0115,0.5163,0.9993
l0ErFafpUCQTQFMSk,anger,anger,-0.1682,0.7023,0.9898
3oFzmqENRBkRTRfLcA,happy,happy,0.4968,0.7407,1.0
euna4DA7PXW9MTE5Dq,anger,anger,-0.3434,0.6169,1.0
P7JmDW7IkB7TW,anger,anger,-0.3036,0.7592,1.0
