giphy_id,qwen8b_dominant,moss_dominant,sentiment,arousal
nrXif9YExO9EI,fear,anger,-0.4632,0.7796
12WEBZaeMLsMnu,anger,fear,-0.2752,0.7213
LkuPxRS0F6gmc,disgust,anger,-0.28,0.6975
S6TEoUBJuGfQCoGl8l,disgust,happy,0.4047,0.6969
945jGDodvZCDe,fear,anger,-0.3447,0.7826
3NtY188QaxDdC,surprise,happy,0.35,0.7453
Od0QRnzwRBYmDU3eEO,anger,neutral,0.2687,0.5869
10UHehEC098kAE,fear,anger,-0.318,0.7548
11ITiHSwbGTXmU,disgust,neutral,-0.074,0.4997
dOl2LFw0RbTMc,disgust,anger,-0.3304,0.6779
9VnK2SUebgetTc9X7B,fear,neutral,-0.1737,0.5642
y31rRE5h3wyPXey8vx,fear,sad,-0.4326,0.5952
9u1J84ZtCSl9K,fear,neutral,-0.0268,0.574
nqi89GMgyT3va,anger,neutral,-0.155,0.5726
LCdPNT81vlv3y,fear,sad,-0.2344,0.5792
lQ1nXVifuLqyVAH2Gu,anger,happy,0.1644,0.6903
iqfYgtx8oWw4o,fear,anger,-0.112,0.734
Z6uvOruuusqmbv9lNi,fear,anger,-0.3475,0.6705
3o7WTOoMpIy5uXW3PW,fear,neutral,0.0598,0.5778
7VLQSALizxgf8NgcH5,disgust,anger,-0.2732,0.629
IYIlvuWc21U4g,fear,neutral,-0.1931,0.5698
TLayDh2IZOHPW,disgust,neutral,0.1318,0.6195
3oEduOnl5IHM5NRodO,fear,happy,0.3675,0.7569
D3OdaKTGlpTBC,fear,sad,-0.5373,0.4512
R6gvnAxj2ISzJdbA63,happy,neutral,0.1442,0.5259
hVTouq08miyVo1a21m,surprise,neutral,0.0499,0.5822
YrlFV52a9n1uMolLcJ,fear,anger,-0.1473,0.7871
kyiHXDANuOg8Jy6ByA,disgust,neutral,-0.0226,0.5639
wpci3xdYmUZG,fear,happy,0.3101,0.6988
NTur7XlVDUdqM,fear,neutral,0.1812,0.5992
UlqLDtI8Qc0j6,disgust,neutral,0.0841,0.6281
7Jq6ufAgpblcm0Ih2z,disgust,anger,-0.4371,0.7423
7FgDPLLKh1v4d2XLkl,fear,neutral,-0.1018,0.6708
k3OVC1A2BARIk,,neutral,0.1027,0.5965
h5NLPVn3rg0Rq,fear,sad,-0.5651,0.5095
3o7TKHVU0xsgGDCyPu,surprise,neutral,0.0066,0.5491
BqAkoM2w0kcNi,disgust,anger,-0.1998,0.694
l41lUjUgLLwWrz20w,happy,neutral,0.1999,0.5415
Wr2747CnxwBSqyK6xt,fear,sad,-0.4491,0.4547
gKejTv4zY53eL6IbIm,happy,neutral,0.0504,0.53
As5I29lsXEvreY88we,fear,neutral,-0.1506,0.5898
VfGyTW2CVYANy,happy,anger,-0.1635,0.6843
J5jiSSrEkV3Kd8iOwb,fear,happy,0.0104,0.7319
dXWnpoJYNKR6BlfCru,,anger,-0.399,0.7505
r1HGFou3mUwMw,fear,anger,-0.2342,0.6735
uUIFcDYRbvJTtxaFNa,fear,sad,-0.4953,0.5979
AxpvyWYDHuIH6,,neutral,-0.0682,0.6402
L4NtmZmGB6zwUKPw6R,fear,neutral,-0.0172,0.489
I7mHOFnVJGSeA,fear,neutral,-0.0198,0.4686
4M2nnq1KXx3Kd2wGoD,fear,neutral,-0.0018,0.4718
KRG6XGnCYB0L6,fear,anger,-0.4651,0.7865
l0MYu38R0PPhIXe36,disgust,sad,-0.4261,0.5362
9rRacglGbs68E,neutral,anger,-0.2646,0.7428
3XBK3CzTN9A1qnzrvR,anger,neutral,-0.0351,0.5
sTczweWUTxLqg,,happy,0.064,0.727
x70p0tqMsvqMM,,neutral,-0.1275,0.5319
iiQSTrHtDIgnw9YtlA,fear,neutral,0.0107,0.61
LFqxF9yF8sRry,anger,neutral,-0.1204,0.631
QkR0NS30aawH6,disgust,anger,-0.4922,0.7177
sbI5Merh3wkc4sU0Zm,anger,neutral,-0.2057,0.5437
iJJ6E58EttmFqgLo96,disgust,sad,-0.5879,0.4124
LLHkw7UnvY3Kw,fear,anger,0.0112,0.7216
pPhyAv5t9V8djyRFJH,anger,neutral,-0.1358,0.5195
3o84sq21TxDH6PyYms,fear,anger,-0.471,0.8062
5XCWLH6ovlsiISpU2U,fear,neutral,-0.0302,0.4833
RgnTXvE24wFjUhB3Dt,anger,neutral,-0.2993,0.5431
n0AYAELt5C8P6rUVDk,fear,anger,-0.4843,0.7836
3ohs4rclkSSrNGSlFK,fear,neutral,-0.0926,0.54
pynZagVcYxVUk,disgust,sad,-0.5434,0.4716
sRKg9r2YWeCTG5JTTo,fear,neutral,-0.1795,0.6558
cL4pqu8GGRIihabgSM,anger,neutral,-0.0877,0.5778
TfWhFbURIirNegNN4t,fear,sad,-0.5448,0.4747
26BRuo6sLetdllPAQ,fear,sad,-0.3659,0.4309
xULW8j2wGlV1JbDAfS,disgust,neutral,-0.0678,0.4996
46zrcGvpuWlPCbZ6ph,fear,neutral,-0.1007,0.5066
lYSvai8OdGpP2,fear,sad,-0.3886,0.5682
qOhzfrkMzQO8U,fear,neutral,-0.1645,0.6019
PkimE3gvpjWYfrjy4C,anger,neutral,-0.1211,0.5895
d5mI2F3MxCTJu,fear,neutral,-0.1108,0.6376
ioopmOHLqIDfGxLLKG,fear,neutral,-0.0329,0.603
feuGBZrrdCATToYB7d,fear,neutral,-0.3257,0.5557
LVO6SbTmWA3Ru,neutral,happy,0.3176,0.6672
JeEC3mlQLjGk7smSJu,fear,anger,-0.4561,0.758
1TSUKOv4k56aIryKAP,disgust,neutral,0.0151,0.5082
kC2cRqEt8o41COgjoV,anger,sad,-0.4698,0.5572
yUbMqEVcIXS24,fear,neutral,0.0109,0.5335
l0NgQgSHKlhCyQYDu,fear,neutral,-0.04,0.5256
oYtVHSxngR3lC,surprise,neutral,-0.011,0.6051
x47gj23jEvGxdWkQEC,fear,neutral,-0.1809,0.6371
QBd2kLB5qDmysEXre9,happy,neutral,-0.0177,0.5454
4NnTap3gOhhlik1YEw,fear,surprise,0.1207,0.725
QhjR3MG9ZFfjB6BtIZ,disgust,neutral,-0.1555,0.4947
QTJXL39QkJivu,disgust,neutral,-0.1016,0.516
QH3zfREoX0luU,fear,anger,-0.3276,0.6986
YRuFixSNWFVcXaxpmX,disgust,neutral,-0.2642,0.57
3o72FfM5HJydzafgUE,fear,anger,-0.2162,0.7527
jTrMNc8FPZntcZmSS7,fear,neutral,-0.1049,0.5481
12R2bKfxceemNq,fear,neutral,-0.0595,0.5381
1hMjJILpxoWpQad37L,fear,anger,-0.34,0.703
l1BgRXXVvQtuXHr32,disgust,anger,-0.415,0.6383
gtPaaCbkxpmWk,fear,sad,-0.4957,0.6189
3o7TKRBB3E7IdVNLm8,disgust,neutral,-0.0592,0.4921
S3n6idriKtiFbZyqve,fear,anger,-0.4802,0.7566
ZTIEREG1h0Kk0,surprise,neutral,-0.0906,0.5572
d0NnEG1WnnXqg,happy,neutral,0.1835,0.6049
a5viI92PAF89q,anger,neutral,-0.2784,0.5899
3oz8xZMZox78ZbWbFC,fear,sad,-0.4665,0.6045
LRZ536Mwpj75cXBttx,fear,neutral,-0.0696,0.5037
phCrvd7QmQf7zc2EXU,anger,neutral,-0.2503,0.6082
JmD9mkDmzvXE7nxy7j,neutral,sad,-0.2744,0.5175
uqSU9IEYEKAbS,,neutral,-0.3471,0.5659
xBqg5gAf1xINizpek6,fear,anger,-0.3087,0.687
6ra84Uso2hoir3YCgb,fear,happy,0.299,0.6407
l23r80pqloao1q8RDV,fear,neutral,0.0077,0.6493
kfFJ4cZGlNGzRILfpW,fear,neutral,-0.1688,0.6256
wvaxs1CsGVTby,fear,anger,-0.3455,0.6304
mIvrv5Qe0kHlu,fear,neutral,-0.1881,0.586
l2olcETxXQjImhNcm2,happy,neutral,0.2857,0.5817
3oEjHAUOqG3lSS0f1C,,anger,-0.4488,0.7028
UqFrsHz0CHK7Hd9IVH,happy,neutral,-0.0304,0.4828
dZCa79nBsVDU1sWwbm,fear,anger,-0.1703,0.7485
SWVzkIlHdEckF81gnA,fear,anger,-0.3154,0.7476
13HceafzmozjjO,fear,anger,-0.2064,0.677
ai8vy8oZ6tkIM,disgust,neutral,-0.0872,0.5322
NUZ5OqHdbknHa,,anger,-0.2754,0.6825
yoJC2GnSClbPOkV0eA,fear,happy,0.0963,0.7234
1zgzK9wg3xvKeoFUX8,fear,neutral,0.0343,0.5208
8igfrOLF6m9jv0T3W0,fear,anger,-0.4605,0.7793
tMOyj4hkcxSfe,fear,anger,-0.4539,0.7798
4JVTF9zR9BicshFAb7,fear,neutral,-0.1738,0.5912
9Ji1s0nTBLlKQEhpLu,fear,neutral,0.0842,0.5372
12IOWYBrqTZCg0,disgust,sad,-0.4866,0.5308
DfyDqTfRB4Bz1hfWWl,anger,neutral,0.0456,0.4785
MgRKCBGvlpqTENUzWk,anger,neutral,0.0075,0.5006
P3vc6Z3zVT1Go,surprise,happy,0.5033,0.668
veAy5UOhBdS3C,fear,neutral,0.1942,0.6144
jMz5jWatM1n7q,disgust,neutral,-0.153,0.5228
VRa3YCyi3JSWk,anger,neutral,-0.0849,0.6564
35MvUTdVqQcklfbuKf,happy,neutral,0.058,0.4966
rNYQWsOSQgHo4,fear,anger,-0.2492,0.6261
lPpKtftzYSi0f2HlVL,anger,neutral,0.1013,0.6426
Hluq5ybFMlnfa,fear,neutral,-0.0703,0.5364
3o6MbtRx8nFU2n5wZO,anger,neutral,-0.0439,0.6127
xR2SI8vqfQMLe,fear,anger,-0.1627,0.688
yr7n0u3qzO9nG,fear,anger,-0.3839,0.7916
Q3YI50shLCxZm,fear,neutral,-0.1781,0.5479
Z1LYiyIPhnG9O,fear,anger,-0.4622,0.793
Ogak8XuKHLs6PYcqlp,fear,neutral,-0.0826,0.5804
sEULHciNa7tUQ,disgust,anger,-0.4561,0.7503
1ptVnxgKvFzgI,fear,anger,-0.4483,0.7448
Jso1dbifABkyEDiIXQ,fear,neutral,-0.108,0.5513
2WxWfiavndgcM,fear,sad,-0.579,0.4675
11Ldh8hMMCEkta,fear,neutral,0.151,0.5516
13z9TyOmEPFams,anger,sad,-0.5429,0.4649
l0HlKrB02QY0f1mbm,fear,neutral,-0.0369,0.5677
ToMjGpKniGqRNLGBrhu,surprise,happy,0.0639,0.6806
3o84sv2u7KSHKbwPza,disgust,anger,-0.3437,0.7603
p4cqQ0gUIMcU0,sad,anger,-0.395,0.6636
fUXZfIDUl8K7lJJ9KK,fear,neutral,0.1163,0.5599
kgpuhoz8vW4RW,happy,neutral,0.1251,0.6462
YiIGgI3QblMwU,sad,neutral,-0.0134,0.5386
dJGYFScvBjfRabiH7m,anger,happy,0.2881,0.6649
QVP7DawXZitKYg3AX5,fear,neutral,-0.0221,0.5661
2Y8Iq3xe121Ba3hUAM,disgust,neutral,-0.2756,0.5247
3ornka9rAaKRA2Rkac,fear,anger,-0.3395,0.6913
jxJjBMvqEvMSA,,neutral,-0.039,0.5395
d6KXqyzam7mH3kZvHF,anger,neutral,-0.1942,0.5592
LDBuYzAwu8L4I,happy,anger,-0.3776,0.7237
3ohhwtftK2lWSFvwUo,fear,sad,-0.1606,0.63
Zd1BUb0qs6nwjeMUBu,fear,neutral,-0.1797,0.5679
h36vh423PiV9K,fear,anger,-0.3564,0.7361
QMkPpxPDYY0fu,happy,neutral,0.0771,0.5929
2z6x8UzzCdBBu,fear,anger,-0.4981,0.7886
f9eYHQ8RZ4zfc4unXx,anger,surprise,0.0758,0.6884
Ld77zD3fF3Run8olIt,anger,neutral,-0.2676,0.5606
9MIwzbUz11clQMmpwV,fear,anger,-0.4243,0.78
MO9ARnIhzxnxu,fear,sad,-0.4124,0.4998
fSYmbgG5Ug8S11K0FU,disgust,neutral,-0.1839,0.6379
8ymvg6pl1Lzy0,anger,neutral,-0.2788,0.596
gYWeVOiMmbg3kzCTq5,fear,neutral,-0.0001,0.4868
uG3lKkAuh53wc,fear,anger,-0.3823,0.6522
xUOwGpaKq5xjHNz8Bi,anger,fear,-0.4981,0.6896
vka8RVWJLaLy8,,neutral,-0.1562,0.5629
IUugNUbGENf1e,fear,anger,-0.4578,0.7257
3i4Prsb5uTZArI7fI4,disgust,neutral,0.0361,0.4933
OSdMzlfJL4lPc33vKt,fear,neutral,-0.0176,0.485
DeAIC76F52wqk,fear,neutral,0.0675,0.5188
RzIOlMSToaDLO,disgust,happy,0.3075,0.6279
wWue0rCDOphOE,fear,happy,0.4542,0.7217
13ln9K5TWkNTLa,fear,neutral,-0.1913,0.5268
KWzzTbkhDvmQU,,anger,-0.3,0.7776
qIFepMd1Dx0uQ,disgust,sad,-0.3738,0.5338
d9O4Lumgzag6iiDuGb,fear,anger,-0.4839,0.7802
5YS2veXdeDhsI,fear,anger,-0.2795,0.6599
12aW6JtfvUdcdO,disgust,neutral,0.0227,0.5159
BbJdwrOsM7nTa,fear,anger,-0.1672,0.7762
wb6xgCSpLl0m4,fear,neutral,-0.2129,0.6013
KPgOYtIRnFOOk,fear,anger,-0.0561,0.6872
5wWf7H0qoWaNnkZBucU,disgust,sad,-0.4114,0.5175
5efT9uLuaJoM3lGKIt,fear,neutral,-0.0154,0.4619
Io4FqkTWHlAt091rye,fear,anger,-0.3324,0.6581
oyQ5Qf9Ihu3ctAe4hw,happy,neutral,0.0439,0.5157
gjgWQA5QBuBmUZahOP,fear,happy,0.4579,0.6803
gDJmXmtODz16M,fear,neutral,-0.0217,0.6628
3otPoEvMyH2X0NTOWk,fear,happy,-0.0844,0.7136
7frSUXgbGqQPKNnJRS,happy,neutral,0.2397,0.5853
Js7cqIkpxFy0bILFFA,fear,neutral,0.0062,0.5056
OY9XK7PbFqkNO,fear,sad,-0.5943,0.4527
A5cMONNFFwPgA,surprise,neutral,-0.0742,0.5464
W68eZm2RllVAwIg84v,anger,disgust,-0.4719,0.6496
NmiVAPnPAHbonwjzpV,surprise,anger,-0.4446,0.7895
hDQt1oSugPuj1iQude,disgust,neutral,-0.1185,0.6384
